date,river_discharge_m3s,location
2011-06-19 16:00:00,6.095778,Petaling
2011-06-20 16:00:00,6.3113914,Petaling
2011-06-21 16:00:00,5.3679557,Petaling
2011-06-22 16:00:00,8.660509,Petaling
2011-06-23 16:00:00,10.142946,Petaling
2011-06-24 16:00:00,7.851156,Petaling
2011-06-25 16:00:00,8.57194,Petaling
2011-06-26 16:00:00,13.859358,Petaling
2011-06-27 16:00:00,13.7231245,Petaling
2011-06-28 16:00:00,12.867557,Petaling
2011-06-29 16:00:00,18.498444,Petaling
2011-06-30 16:00:00,15.595871,Petaling
2011-07-01 16:00:00,11.416523,Petaling
2011-07-02 16:00:00,8.908319,Petaling
2011-07-03 16:00:00,7.375293,Petaling
2011-07-04 16:00:00,5.8233867,Petaling
2011-07-05 16:00:00,4.3951063,Petaling
2011-07-06 16:00:00,3.7533522,Petaling
2011-07-07 16:00:00,6.816278,Petaling
2011-07-08 16:00:00,8.354057,Petaling
2011-07-09 16:00:00,6.6032624,Petaling
2011-07-10 16:00:00,5.151768,Petaling
2011-07-11 16:00:00,4.9979105,Petaling
2011-07-12 16:00:00,4.1760683,Petaling
2011-07-13 16:00:00,5.9502435,Petaling
2011-07-14 16:00:00,9.739895,Petaling
2011-07-15 16:00:00,17.578047,Petaling
2011-07-16 16:00:00,14.310873,Petaling
2011-07-17 16:00:00,9.864257,Petaling
2011-07-18 16:00:00,6.852356,Petaling
2011-07-19 16:00:00,5.2661386,Petaling
2011-07-20 16:00:00,4.7279606,Petaling
2011-07-21 16:00:00,5.918309,Petaling
2011-07-22 16:00:00,6.0469303,Petaling
2011-07-23 16:00:00,5.652732,Petaling
2011-07-24 16:00:00,9.046157,Petaling
2011-07-25 16:00:00,7.5703793,Petaling
2011-07-26 16:00:00,5.2373486,Petaling
2011-07-27 16:00:00,5.683439,Petaling
2011-07-28 16:00:00,5.471426,Petaling
2011-07-29 16:00:00,6.112135,Petaling
2011-07-30 16:00:00,5.353309,Petaling
2011-07-31 16:00:00,7.147043,Petaling
2011-08-01 16:00:00,6.144963,Petaling
2011-08-02 16:00:00,6.8704586,Petaling
2011-08-03 16:00:00,12.396766,Petaling
2011-08-04 16:00:00,26.54229,Petaling
2011-08-05 16:00:00,19.941124,Petaling
2011-08-06 16:00:00,15.826738,Petaling
2011-08-07 16:00:00,14.631476,Petaling
2011-08-08 16:00:00,14.73983,Petaling
2011-08-09 16:00:00,13.190574,Petaling
2011-08-10 16:00:00,14.381548,Petaling
2011-08-11 16:00:00,13.157939,Petaling
2011-08-12 16:00:00,17.113401,Petaling
2011-08-13 16:00:00,21.233099,Petaling
2011-08-14 16:00:00,18.498444,Petaling
2011-08-15 16:00:00,20.428905,Petaling
2011-08-16 16:00:00,20.330448,Petaling
2011-08-17 16:00:00,16.660378,Petaling
2011-08-18 16:00:00,13.321879,Petaling
2011-08-19 16:00:00,25.607248,Petaling
2011-08-20 16:00:00,28.444216,Petaling
2011-08-21 16:00:00,29.26913,Petaling
2011-08-22 16:00:00,48.090786,Petaling
2011-08-23 16:00:00,42.151905,Petaling
2011-08-24 16:00:00,35.4754,Petaling
2011-08-25 16:00:00,37.994194,Petaling
